source,destination,time,ms,labels_popped,truncated,routes
KJ,BAL,00:00,21.321,9625,0,50
DGG,KKK,11:00,33.303,15284,0,50
GBE,GJS,22:00,7.745,1,0,0
CGN,BP,12:00,13.340,1350,0,50
NJP,GOM,01:00,219.550,140398,0,50
DOB,KJT,11:00,43.419,11869,0,50
MBS,BRE,07:00,18.742,7812,0,50
TMR,KLH,20:00,5.876,1299,0,50
BWI,PGI,07:00,12.188,3814,0,50
BLQR,MXH,18:00,7.088,1228,0,50
GED,SBDR,21:00,3.308,1,0,0
RGL,NAN,02:00,220.999,112616,1,31
KHM,NGO,00:00,8.933,1700,0,50
SGZ,KTHD,13:00,10.682,4485,0,50
REN,NHH,06:00,18.669,4132,0,50
KLT,SAW,12:00,21.344,8991,0,50
DMNJ,APR,19:00,13.337,3327,0,50
NDO,BHNE,01:00,14.510,5507,0,50
SNPU,KGLE,11:00,22.051,6842,0,50
GAI,GBE,13:00,17.280,13740,0,50
DRN,BRG,10:00,6.349,1,0,0
PAD,ZNA,19:00,6.092,1,0,0
DBD,BWH,02:00,11.276,2437,0,50
BLH,MMD,03:00,2.077,1,0,0
KRJ,SRF,12:00,1.583,1,0,0
LKE,NOQ,11:00,8.285,1592,0,50
DSR,BLS,21:00,5.562,1,0,0
NIA,KGP,20:00,10.030,2068,0,50
BPR,SGF,17:00,4.405,1,0,0
MZS,NGG,01:00,33.698,18285,0,50
GMO,BNC,14:00,18.978,6920,0,50
AZR,DBB,06:00,13.328,5551,0,50
KJH,BRK,21:00,3.554,1,0,0
DPA,BRG,09:00,20.618,5333,0,50
JIND,TUJ,19:00,11.421,7618,0,50
MTD,VJPJ,20:00,9.735,1862,0,50
KLBN,PHD,12:00,10.730,1782,0,50
BNCE,MIM,17:00,4.309,1,0,0
TP,DXG,20:00,97.739,22800,0,50
NDPM,BZG,08:00,38.951,10525,0,50
KHBJ,YY,11:00,2.234,1,0,0
DRB,RPAN,06:00,53.005,18054,0,50
MRG,TNR,15:00,10.481,3970,0,50
AMLA,ZB,16:00,39.261,13211,0,50
BGHU,PNDM,05:00,32.612,15199,0,50
SHI,JSP,23:00,4.754,1,0,0
HGT,VNM,00:00,1.599,1,0,0
BDLN,BINA,19:00,9.605,2550,0,50
NWH,NHH,21:00,16.007,2686,0,50
NHLG,KXH,03:00,13.424,5619,0,50
LSR,NILE,06:00,33.692,14454,0,50
VVM,RGO,21:00,4.680,1,0,0
PVRD,KHNM,14:00,27.415,11532,0,50
ASN,CTYL,08:00,5.010,745,0,50
BJU,SFW,01:00,28.968,10417,0,50
PDL,MNV,11:00,15.174,3512,0,50
SFC,BAU,20:00,5.549,1,0,0
KDRP,KMNC,11:00,15.284,4485,0,50
RNL,TN,22:00,3.654,1,0,0
NED,DXG,07:00,142.432,33846,1,15
JOB,LGT,22:00,4.369,1,0,0
BDTS,GY,23:00,43.018,18987,0,50
THP,HRT,23:00,5.360,1,0,0
KPD,NMKL,08:00,64.356,25644,0,50
SDB,NYN,17:00,42.426,10030,0,50
NMM,PCOI,17:00,10.481,3171,0,50
GID,DTO,01:00,23.649,13072,0,50
GMO,HCNR,03:00,40.596,27761,0,50
NOQ,NKRA,02:00,17.830,15247,0,50
ASKN,AGTL,14:00,14.150,6268,0,50
BRTK,SOJN,17:00,4.471,1,0,0
STW,VLR,10:00,14.261,5506,0,50
VZM,KLZ,11:00,115.281,50380,0,50
BGNR,SOG,16:00,5.661,1,0,0
PRDT,SEG,12:00,6.015,1,0,0
DKGS,MIPM,10:00,3.984,1,0,0
BRPS,SHSK,22:00,4.710,1,0,0
SRE,HLR,05:00,7.843,1762,0,50
KJT,MB,16:00,15.109,4733,0,50
CLDR,GUG,02:00,15.540,16193,0,41
DNA,TGN,15:00,14.515,3311,0,50
SDS,AMLA,18:00,53.757,30492,0,50
PLSN,AYV,12:00,37.327,25299,0,50
SIW,MRPR,10:00,44.925,17658,0,50
NBJU,HAS,12:00,8.779,3138,0,50
MAKM,MLO,02:00,7.643,1535,0,50
NYY,RAIR,18:00,8.181,2428,0,50
MLN,PNPI,04:00,1.231,1,0,0
SOJN,CJM,04:00,3.610,1185,0,50
CHH,JPG,01:00,8.048,3531,0,50
TWB,MMV,09:00,10.372,4360,0,50
SID,BP,00:00,9.458,4483,0,50
LGT,AZ,02:00,7.262,3882,0,50
MIPM,CPH,19:00,20.835,13338,0,50
ZBD,GRD,12:00,1.643,1,0,0
HJP,FAN,14:00,9.927,2853,0,50
YLG,DWX,23:00,7.200,916,0,50
AN,KHU,17:00,8.999,2853,0,50
DPJ,MZR,20:00,11.270,2185,0,50
MLG,PKQ,17:00,7.010,3021,0,50
OKA,NRY,21:00,2.119,1,0,0
CQA,ORC,08:00,7.585,2125,0,50
FAB,BPD,16:00,5.492,2103,0,50
BPRS,GHR,16:00,3.878,1,0,0
RBL,SMLG,14:00,1.325,1,0,0
VAJ,BGP,15:00,4.115,1,0,0
KWM,CHH,08:00,13.345,8129,0,50
BLPR,GRMA,19:00,3.362,1,0,0
MRF,MKS,07:00,9.774,6715,0,50
MVW,RLS,18:00,5.594,1367,0,50
BEHR,PDW,15:00,4.837,1,0,0
SHC,SBHR,01:00,1.859,1,0,0
NRM,PUL,11:00,13.914,7356,0,50
SLB,UCR,06:00,19.039,6193,0,50
GDO,NDZ,00:00,8.537,3367,0,50
GLPT,KEU,22:00,4.047,1,0,0
AONI,AP,22:00,3.747,1,0,0
ML,CSN,03:00,40.049,8564,0,50
ROZA,PHR,18:00,14.626,2923,0,50
CBF,DAPD,05:00,15.590,4267,0,50
MXH,KSG,01:00,11.124,2250,0,50
TIA,KQK,05:00,20.242,6662,0,50
AJE,BSKH,22:00,4.583,1,0,0
RBH,VPDA,12:00,7.627,1501,0,50
DBRG,TGRL,04:00,585.529,448228,1,26
BSRX,PYOL,15:00,17.580,4064,0,50
DMRX,DGG,21:00,7.192,1,0,0
BUDM,MJBT,16:00,32.002,11274,0,50
HLAR,MOF,19:00,7.029,1,0,0
QLN,KSC,07:00,19.053,8276,0,50
TGRL,KKB,22:00,4.872,1,0,0
JRTB,BWPL,23:00,4.864,1,0,0
ABI,GAG,23:00,5.270,1,0,0
GATD,TDLE,08:00,30.704,5060,0,50
BAW,MEX,19:00,7.635,1,0,0
DMO,KLRE,21:00,10.848,2391,0,50
DOL,DRU,21:00,232.823,90575,1,42
SVKS,CNB,02:00,12.124,1937,0,50
TVR,NLDA,04:00,22.016,6283,0,50
TDPR,MULK,04:00,51.040,23895,0,50
DBW,VGLJ,13:00,25.326,7904,0,50
KL,NZB,22:00,42.963,18064,0,50
CKK,NSGR,12:00,2.226,1,0,0
GEB,KNF,04:00,1.896,1,0,0
BEHS,GHD,19:00,57.355,24252,0,50
